id,name,group,keywords_and_phrases,clarify_questions,challenge_questions,curious_response,direct_response,deescalating_response
11,Illusory Correlation,Evidence,always happens when | every time x | whenever this happens | these two go together | linked every time | must be connected | correlated,"How often do the two events actually occur together compared with when they do not? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?",What evidence makes this conclusion more likely than the strongest alternative explanation? | Track whether the connection actually occurs consistently rather than relying on how strongly the association feels.,What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
12,Base-Rate Neglect,Evidence,usually people | normally people | how often does that happen | base rate | most cases | typical case | ordinary explanation,"What is the ordinary or baseline frequency of this event in comparable situations? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?",What evidence makes this conclusion more likely than the strongest alternative explanation? | Ask what usually happens in comparable situations before choosing the most threatening explanation.,What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
13,Availability Heuristic,Evidence,first thing i remember | comes to mind | easy to remember | vivid memory | i can picture it | most memorable | can't forget,"Are vivid or easy-to-recall examples being mistaken for typical ones? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Vivid memories deserve attention, but estimate frequency from the whole record, not from the easiest memory to retrieve.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
14,Outcome Bias,Evidence,turned out badly | turned out fine | ended badly | ended well | nothing happened so | because it worked | because it failed | outcome proves,"Would you judge the original decision the same way if the outcome had turned out differently? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Evaluate the decision using the information, risks, and alternatives available at the time—not only the ending.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
15,Argument from Repetition,Evidence,i've told you for years | i have told you for years | keep saying | said it many times | everyone keeps saying | i keep telling you | repeatedly told,"Has repetition added new evidence, or only made the claim more familiar? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Repetition can strengthen memory and emotion, but it does not add evidence. Return to the underlying events.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
16,Proof by Assertion,Evidence,it just is | yes you did | no you didn't | because i said | i know it | obviously | clearly | that's just true | that is just true,"What evidence is being offered besides confidence or repetition of the conclusion? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Turn the assertion into a testable statement: what observation would support it, and what would count against it?",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
17,Argument from Silence,Evidence,you didn't say | you did not say | you were silent | no response | didn't mention | did not mention | you never denied | silence means,"What other plausible meanings could the silence or omission have? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?","What evidence makes this conclusion more likely than the strongest alternative explanation? | Silence is information, but it is ambiguous information. Ask before assigning a single meaning to it.",What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
18,False Balance,Evidence,both sides are equal | equally true | 50/50 | same weight | both versions | two sides so | meet in the middle,"Do the two competing claims actually have equal evidentiary support? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?",What evidence makes this conclusion more likely than the strongest alternative explanation? | Respect both people without pretending all claims have equal evidence. People deserve equal dignity; claims still require evaluation.,What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
19,Fallacy Fallacy,Evidence,that's a fallacy so | that is a fallacy so | bad reasoning so false | your logic is bad so you're wrong | fallacy therefore false | argument is flawed therefore false,"Even if the argument is flawed, what independent evidence bears on whether the conclusion is true? | What exactly is the factual conclusion being claimed? | What evidence supports it, and what evidence would count against it?",What evidence makes this conclusion more likely than the strongest alternative explanation? | Correct the reasoning without assuming the opposite conclusion. A bad argument can accidentally point toward a true concern.,What evidence are you using for that conclusion? I want to understand the step between what happened and what you're concluding.,"I'm willing to address the claim, but I need the evidence for it before I try to disprove it.",I want to take the concern seriously. Can we first separate what we know from what we're assuming?
20,Mind Reading,Intent,you wanted | you meant | you think | you feel | you believe | you only did | because you wanted | you secretly | i know why you | your real reason,"Did the person state that thought or motive, or is it being inferred? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?",Can we separate what happened from what you think the person intended? | Replace certainty about motive with a question: “What was happening for you when you did that?”,What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
21,Jumping to Conclusions,Intent,must be | obviously means | clearly means | so that means | therefore you must | i already know | no other reason | jumping to,"What information is still missing before this conclusion can be firm? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?","Can we separate what happened from what you think the person intended? | Name the observation first, then list at least two plausible explanations before acting on one.",What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
22,Appeal to Motive,Intent,you only say that because | you only want | your motive is | you're just saying | you are just saying | only because you want | self-serving motive,"Does the alleged motive answer whether the person's actual claim is true? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?","Can we separate what happened from what you think the person intended? | A motive may matter, but it does not determine whether the statement is true. Evaluate both separately.",What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
23,Intentionality Bias,Intent,on purpose | intentionally | deliberately | specifically to | you meant to | you did that to | you knew it would and wanted | purposefully,"What evidence distinguishes deliberate action from accident, habit, stress, or misunderstanding? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?",Can we separate what happened from what you think the person intended? | Distinguish “this affected me” from “you intended this effect.” Ask what evidence establishes intention.,What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
24,Hostile Attribution Bias,Intent,trying to hurt | trying to punish | trying to attack | hostile | disrespecting me | threatening me | trying to control | out to get me | malicious,"Is ambiguous behavior being interpreted in the most hostile available way? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?","Can we separate what happened from what you think the person intended? | When evidence is ambiguous, deliberately generate a neutral explanation before choosing the hostile one.",What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
25,Personalization,Intent,because of me | my fault | i caused it | i made them | they're quiet because of me | this is about me | i must have done,"What evidence shows this event was caused by or centered on you? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?",Can we separate what happened from what you think the person intended? | Ask what portion is actually yours. Responsibility can be partial without being total.,What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
26,Projection,Intent,you must feel | you are judging me | you secretly want | you must want | you probably feel | you're the one who | you think exactly what i think,"Could the feeling or motive being assigned to the other person actually be coming from your own state? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?",Can we separate what happened from what you think the person intended? | Use first-person language for your internal state before assigning it to the other person.,What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
27,Genetic Fallacy,Intent,because your therapist | because your mother | because your father | because your family | because your friend | you got that from | came from social media | because of where it came from,"If the exact same claim came from a different source, would you evaluate it differently? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?","Can we separate what happened from what you think the person intended? | The source can affect credibility, but the claim still deserves evaluation on its own merits.",What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
28,Personal Incredulity,Intent,i can't understand | i cannot understand | makes no sense so | i would never | i can't imagine | impossible that | doesn't make sense to me so,"Is 'I cannot understand it' being used as evidence that it cannot be true? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?","Can we separate what happened from what you think the person intended? | Not understanding another person’s experience is a reason to investigate, not proof that the experience is false.",What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
29,Illusion of Transparency,Intent,you should know | you knew what i meant | obvious what i meant | you should have known how i felt | you could tell | it was obvious i needed,"Was the thought, need, or intention actually communicated, or only assumed to be obvious? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?",Can we separate what happened from what you think the person intended? | Say the part you assume is obvious. Relationships fail when invisible intentions are treated as shared information.,What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
30,Curse of Knowledge,Intent,how could you not know | you should understand | everyone knows this context | you know the history | you already know why | i shouldn't have to explain,"What context did the other person actually have at the time? | What was actually observed, and what part describes a private thought or motive? | Did the person state the motive, or is it being inferred from behavior?",Can we separate what happened from what you think the person intended? | Explain the missing context without assuming that failure to infer it means indifference or bad faith.,What made you think that was the intention?,"You can describe what happened, but my motive shouldn't be stated as fact unless there's evidence for it.",I understand how the action may have landed. Can we separate the impact from what you think I intended?
31,Emotional Reasoning,Feeling → Fact,i feel therefore | i feel like you | i felt so you | because i feel | feels true | i feel unsafe therefore | i feel controlled therefore | i feel rejected therefore,"What is the emotion, and what separate external conclusion is being drawn from it? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?","Can we honor the feeling while testing the factual conclusion separately? | Validate the feeling first, then separately examine the claim about what caused it.","What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
32,Appeal to Emotion,Feeling → Fact,if you loved me | if you cared | after everything i've done | look how upset | how can you say no when | because i'm hurt | because i’m hurt | you'd do it if you cared,"What reasons support the conclusion if the emotional pressure is removed? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Emotion can explain why something matters; it should not replace the reasoning needed to justify a demand or conclusion.,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
33,Appeal to Consequences,Feeling → Fact,if i admit | if I admit | then it would mean | can't be true because that would | cannot be true because that would | if that were true then | too painful to be true,"Are you deciding what is true based on what accepting it would emotionally mean? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Truth is independent of whether the conclusion is comfortable. Separate what is true from what you fear it would mean.,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
34,Reification,Feeling → Fact,that is control | that's control | that is abuse | that's abuse | that is abandonment | that's abandonment | that is disrespect | that's disrespect | this is manipulation,"What concrete actions are hidden inside the abstract label? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?","Can we honor the feeling while testing the factual conclusion separately? | Return from labels to observable behavior: what was said, done, requested, or prevented?","What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
35,Black-and-White Thinking,Feeling → Fact,either or | either you | or else | only two choices | all or nothing | completely or not at all | if not x then y,"What realistic third option exists between the two extremes being offered? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?","Can we honor the feeling while testing the factual conclusion separately? | Look for the third position: partial agreement, temporary limits, mixed motives, incremental repair, or uncertainty.","What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
36,Catastrophizing,Feeling → Fact,marriage is over | never recover | always be this way | worst case | everything is ruined | this will destroy | it's hopeless | catastrophe,"What is possible, what is probable, and what evidence makes the worst outcome inevitable? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Ask: What is possible? What is probable? What could I cope with if the difficult outcome happened?,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
37,Labeling,Feeling → Fact,you are a liar | you're a liar | you are selfish | you're selfish | you are controlling | you're controlling | you are needy | you're needy | you are toxic | you're toxic | you are cold | you're cold,"What specific behavior supports the identity label, and does it justify describing the whole person? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Describe the behavior precisely. Identities are harder to repair than actions.,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
38,Should Statements,Feeling → Fact,should | shouldn't | should not | supposed to | must always | ought to | good spouse would | real partner should | married people should,"Is this a mutual agreement, a value, a preference, or a private rule being treated as universal? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?","Can we honor the feeling while testing the factual conclusion separately? | Translate “should” into a preference, value, agreement, or negotiable expectation.","What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
39,Fortune Telling,Feeling → Fact,will always | will never | going to happen | definitely will | eventually you'll | eventually you will | this will end in | i know what will happen,"What evidence would make this prediction more or less likely? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Treat predictions as hypotheses. Ask what evidence would update the prediction.,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
40,Framing Effect,Feeling → Fact,checking versus tracking | space versus abandonment | independence versus distance | call it | framed as | same behavior different words | wording makes it sound,"Would your judgment change if the exact same behavior were described with neutral wording? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Translate charged labels back into concrete actions before deciding what the behavior means.,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
41,Spotlight Effect,Feeling → Fact,everyone noticed | they all think | people are judging | everyone saw | the therapist thinks i'm | the therapist thinks I’m | everyone is focused on | they're all watching,"What evidence shows other people noticed or judged this as much as you think they did? | What is the internal feeling, and what outside-world conclusion is attached to it? | Can the feeling be validated without automatically accepting the explanation for it?",Can we honor the feeling while testing the factual conclusion separately? | Ask what evidence shows that others are actually focused on you as intensely as you imagine.,"What feeling are you having, and what do you think that feeling tells you about what happened?",I accept that the feeling is real. I don't want the feeling alone to decide the external fact.,I believe you feel that way. Can we look separately at what happened and what the feeling seems to mean?
42,Recency Bias,Memory,lately | recently | last week | last few days | right now | these last times | most recent,"Are recent events being allowed to represent a much longer time period? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Use a wider time window when evaluating patterns.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
43,Negativity Bias,Memory,only remember the bad | negative stands out | worst moments | all i remember is | can't stop thinking about the bad | one criticism outweighs,"Have positive or neutral events been counted alongside the negative ones? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Do not force positivity; simply make sure negative evidence is not the only evidence recorded.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
44,Hindsight Bias,Memory,should have known | obvious now | knew all along | warning signs were obvious | i should've seen | i should have seen | of course it happened,"What was actually knowable before the outcome occurred? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Reconstruct what you actually knew then, not what seems obvious now.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
45,Anchoring,Memory,first impression | first label | first story | anchored | started with the idea | initial number | first thing therapist said,"Is an early label, number, or story still controlling the judgment despite newer evidence? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Ask whether the anchor still deserves its influence in light of newer information.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
46,Memory Conformity,Memory,everyone remembers it that way | family says it happened | after hearing it repeatedly | retelling changed | shared story | they told me so often | now i remember it that way,"Which details do you independently remember, and which came from later retellings? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Separate what you independently remember from what you later heard or inferred.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
47,Consistency Bias,Memory,always wanted | never wanted | i've always | i have always | i never believed | always been this way | i was always like this,"Are you remembering your past position as more consistent with your present position than records show? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Allow your past self to have been different. Change does not require rewriting the earlier position.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
48,Rosy Retrospection,Memory,used to be perfect | back then everything | good old days | before this everything worked | we were always happy then | things were simpler then,"What difficulties from the 'better' past are being left out of the memory? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Use nostalgia as information about what you miss, not proof that the past was problem-free.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
49,Fading Affect Bias,Memory,doesn't feel as bad now | does not feel as bad now | not as painful now | i barely remember how bad | pain faded | seems minor now,"Has the emotional intensity faded in a way that now makes the event seem less important than it was then? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Remember that emotional intensity changes over time and may change differently for different people.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
50,Halo Effect,Memory,because they're good | because she is loving | because he is loving | because they're successful | good person so | great parent so | kind person so,"Is one positive trait being used as evidence for an unrelated judgment? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | Evaluate each behavior on its own evidence rather than borrowing credibility from unrelated strengths.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
51,Horn Effect,Memory,because they're bad | one bad thing means | everything about them is bad | bad person so | after what they did nothing good | one flaw colors everything,"Is one negative event or trait contaminating judgments about unrelated parts of the person? | Is there a contemporaneous record, or are we relying mainly on recall? | Could timing, retelling, emotion, or an earlier label be shaping the memory?","What does the best available record establish, and what remains memory or interpretation? | A serious negative event may matter greatly, but do not let it silently become evidence for unrelated claims.","What do you remember directly, and is there any record we can compare it with?","Memory matters, but if a record exists I want us to use it before deciding what happened.",We may remember this differently. Let's use any record we have and mark the rest as uncertain rather than accusing each other.
